10-19 17:13:59: Training starting...
10-19 17:14:00: New best reward 11.0 (-100.0%) at episode 0, saving model...
10-19 17:14:00: New best reward 36.0 (+227.3%) at episode 1, saving model...
10-19 17:14:00: New best reward 39.0 (+8.3%) at episode 8, saving model...
10-19 17:14:00: New best reward 49.0 (+25.6%) at episode 28, saving model...
10-19 17:14:00: New best reward 56.0 (+14.3%) at episode 51, saving model...
10-19 17:14:01: New best reward 74.0 (+32.1%) at episode 161, saving model...
10-19 17:14:03: New best reward 76.0 (+2.7%) at episode 2385, saving model...
10-19 17:14:04: New best reward 83.0 (+9.2%) at episode 2469, saving model...
10-19 17:14:04: New best reward 101.0 (+21.7%) at episode 2499, saving model...
10-19 17:14:04: New best reward 111.0 (+9.9%) at episode 2503, saving model...
10-19 17:14:04: New best reward 116.0 (+4.5%) at episode 2507, saving model...
10-19 17:14:04: New best reward 146.0 (+25.9%) at episode 2625, saving model...
10-19 17:14:05: New best reward 180.0 (+23.3%) at episode 2813, saving model...
10-19 17:14:05: New best reward 258.0 (+43.3%) at episode 2925, saving model...
10-19 17:14:08: New best reward 355.0 (+37.6%) at episode 3937, saving model...
10-19 17:14:09: New best reward 375.0 (+5.6%) at episode 4203, saving model...
10-19 17:14:10: New best reward 401.0 (+6.9%) at episode 4463, saving model...
10-19 17:14:11: New best reward 416.0 (+3.7%) at episode 4663, saving model...
10-19 17:14:25: New best reward 656.0 (+57.7%) at episode 9168, saving model...
10-19 17:14:25: New best reward 800.0 (+22.0%) at episode 9169, saving model...
10-19 17:14:25: New best reward 972.0 (+21.5%) at episode 9170, saving model...
10-19 17:14:27: New best reward 2893.0 (+197.6%) at episode 9909, saving model...
10-19 17:14:27: New best reward 3509.0 (+21.3%) at episode 9910, saving model...
10-19 17:14:28: New best reward 6217.0 (+77.2%) at episode 9912, saving model...
10-19 17:14:28: New best reward 6668.0 (+7.3%) at episode 9913, saving model...
10-19 17:14:28: New best reward 8159.0 (+22.4%) at episode 9914, saving model...
10-19 17:14:30: New best reward 40753.0 (+399.5%) at episode 9915, saving model...
10-19 17:14:32: New best reward 42584.0 (+4.5%) at episode 9917, saving model...
10-19 17:14:36: New best reward 84152.0 (+97.6%) at episode 9918, saving model...
10-19 17:14:40: New best reward 85385.0 (+1.5%) at episode 9919, saving model...
10-19 17:14:49: New best reward 100000.0 (+17.1%) at episode 9922, saving model...
