10-19 17:25:29: Training starting...
10-19 17:25:30: New best reward -7.5 (-100.0%) at episode 0, saving model...
10-19 17:25:30: New best reward -6.9 (-8.0%) at episode 1, saving model...
10-19 17:25:30: New best reward -6.3 (-8.7%) at episode 2, saving model...
10-19 17:25:30: New best reward -5.7 (-9.5%) at episode 21, saving model...
10-19 17:25:30: New best reward -5.1 (-10.5%) at episode 57, saving model...
10-19 17:25:30: New best reward -4.5 (-11.8%) at episode 104, saving model...
10-19 17:25:30: New best reward -3.3 (-26.7%) at episode 132, saving model...
10-19 17:25:30: New best reward -1.5 (-54.5%) at episode 190, saving model...
10-19 17:25:30: New best reward -0.3 (-80.0%) at episode 295, saving model...
10-19 17:25:33: New best reward 3.9 (-1400.0%) at episode 1995, saving model...
10-19 17:25:42: New best reward 4.5 (+15.4%) at episode 7943, saving model...
10-19 17:25:47: New best reward 6.0 (+33.3%) at episode 10671, saving model...
10-19 17:25:49: New best reward 6.5 (+8.3%) at episode 12146, saving model...
10-19 17:25:51: New best reward 8.6 (+32.3%) at episode 12847, saving model...
10-19 17:26:10: New best reward 9.4 (+9.3%) at episode 23171, saving model...
10-19 17:26:20: New best reward 12.9 (+37.2%) at episode 27917, saving model...
10-19 17:27:29: New best reward 17.9 (+38.8%) at episode 58651, saving model...
10-19 17:27:56: New best reward 22.9 (+27.9%) at episode 69484, saving model...
10-19 17:28:02: New best reward 26.9 (+17.5%) at episode 71344, saving model...
10-19 17:28:22: New best reward 27.1 (+0.7%) at episode 78564, saving model...
10-19 17:28:32: New best reward 27.3 (+0.7%) at episode 82200, saving model...
10-19 17:28:36: New best reward 31.9 (+16.8%) at episode 83435, saving model...
10-19 17:28:56: New best reward 32.2 (+0.9%) at episode 90254, saving model...
10-19 17:28:56: New best reward 45.9 (+42.5%) at episode 90475, saving model...
10-19 17:30:09: New best reward 48.1 (+4.8%) at episode 113843, saving model...
10-19 17:30:34: New best reward 64.4 (+33.9%) at episode 121160, saving model...
10-19 17:31:15: New best reward 68.9 (+7.0%) at episode 133012, saving model...
